-10,103,11,-560,-3248,1548,1659,-5,0
-8,103,7,-457,-1887,1129,1720,-97,-12
-9,99,6,-85,-818,533,1748,-39,5
-8,97,7,-86,-369,-115,1742,-19,6
-3,98,6,-150,-431,217,1754,-32,12
-4,97,4,351,-348,1156,1816,-27,40
-6,96,5,871,-1076,1836,1913,-58,60
-6,99,11,1016,26,2074,2023,-2,58
-11,101,12,574,-169,2044,2132,-3,29
-13,102,10,588,-316,1426,2209,-6,29
-26,104,8,762,1796,-1066,2152,129,15
-50,115,11,-2031,4141,-8531,1700,284,-162
-89,108,28,-1499,-819,-10396,1149,93,-202
-79,114,54,-944,-9409,-12017,500,-379,-172
-63,115,56,-677,-8648,-11377,-102,-355,-142
-78,-127,59,2140,-11877,-8250,-539,-508,-4
-77,-87,82,2214,-25600,-410,-561,-1233,14
-18,-77,80,-8932,-25600,9660,-39,-1325,-525
12,-93,73,-17143,-20291,13217,660,-1068,-933
3,-91,73,-21102,-8836,14855,1448,-473,-1132
12,-105,67,-24883,-12552,20324,2525,-675,-1326
33,122,47,-24883,-12787,23603,3799,-739,-1353
26,92,29,-24298,-11303,25959,5175,-655,-1291
32,69,25,-11411,-12464,25959,6551,-749,-666
-2,42,14,-6628,-1383,25959,7927,-78,-375
-35,8,13,-2223,-10652,23557,9199,-308,-388
-46,-15,54,4176,-12190,18092,10158,-482,-157
-81,-31,66,991,-2929,11578,10771,23,-339
-111,-45,70,2778,3300,3394,10951,361,-257
-107,-49,82,954,9725,-2743,10803,677,-353
-122,-31,68,-1149,15046,-11283,10205,979,-431
-73,-12,60,-1547,14444,-18451,9227,913,-432
-55,12,40,2946,16984,-20910,8119,1056,-130
-18,49,15,4357,10220,-24067,6819,589,157
17,42,-6,16923,22003,-22298,5638,1013,805
-2,69,3,25143,24425,-13692,4912,1230,1302
-18,86,34,25143,24425,-5226,4635,1268,1218
-23,-127,68,25143,23649,6735,4999,1243,1223
-77,-62,86,25143,22918,13991,5740,1226,1193
102,-12,95,20071,16435,13039,6431,938,911
-109,-58,36,10625,21619,12487,7093,1194,456
92,-98,4,14149,17101,14447,7873,1050,586
-123,-98,40,11169,11189,6266,8205,697,447
127,115,61,-569,5025,-660,8170,414,-197
59,118,16,1714,-5071,-1311,8101,-42,-112
37,-112,-17,-6217,-16290,-12450,7428,-638,-511
18,-97,-75,-4853,-16325,-24067,6153,-636,-440
48,-82,113,1627,-18368,-24067,4901,-765,-103
121,-81,117,12370,-24986,-24067,3626,-1166,474
-50,-125,-83,16387,-20574,-24067,2326,-1013,739
-7,97,-27,13295,-15849,-24067,1051,-809,648
0,71,31,12982,-6841,-23996,-220,-367,601
46,55,85,7540,-10341,-13654,-944,-643,180
-4,24,63,1780,-5208,-7177,-1332,-273,-147
0,-10,58,854,-4954,-2221,-1449,-269,-319
4,-26,59,-18,-1830,1445,-1373,-129,-421
38,-12,47,-745,247,6508,-1028,-157,-406
48,9,31,-406,3284,15911,-169,-72,-304
26,29,21,-126,6644,23007,1050,172,-167
-13,50,7,-3392,7306,25959,2426,411,-203
-54,77,-6,-1053,7978,25959,3802,526,-158
-102,108,-11,5353,11520,25959,5203,750,139
-120,-101,-20,8206,22506,25959,6579,1275,301
-128,-76,-21,5591,18696,25959,7955,1072,178
116,-69,-26,5690,18403,25959,9331,1063,176
-121,-91,-28,4100,23267,18287,10318,1329,101
114,123,-46,3855,18574,9761,10836,1113,31
-86,122,-11,6622,22818,997,10889,1282,231
-91,97,6,-4824,10456,-4274,10662,685,-381
-84,100,13,450,-3070,-831,10617,-18,-102
101,-101,59,-4391,-24193,-3323,10441,-1078,-374
-115,-56,101,-15865,-25600,-11651,9823,-1213,-920
-97,-24,118,-21970,-17361,-14273,9067,-820,-1214
-114,-8,98,-24883,-14624,-14431,8288,-685,-1378
-82,-29,80,-24883,-23825,-8942,7814,-1156,-1336
-7,-66,80,-24883,-25600,5373,8098,-1314,-1321
31,-111,22,-24883,-22151,19131,9112,-1195,-1289
4,113,-9,-21395,-18733,25959,10514,-999,-1094
-2,92,-7,-8395,-19789,25959,11890,-1020,-409
-28,66,-2,-4287,-9787,25959,13266,-424,-274
-79,21,17,194,-7620,25468,14616,-124,-253
-106,-11,47,301,-554,15964,15478,213,-329
117,-31,61,-1202,2508,6270,15810,362,-430
125,-45,60,-551,183,-940,15760,229,-421
127,-33,54,-1256,3047,-8902,15289,390,-441
-106,7,38,-1914,9649,-21406,14133,759,-408
-47,64,20,1514,19799,-24067,12857,1128,-41
-6,77,0,9301,24425,-24067,11581,1242,490
-4,70,2,23648,24425,-23660,10327,1237,1223
