-1,99,-5,321,1221,-254,-168,0,1
-2,98,-5,612,944,-175,-178,45,31
-1,98,-3,797,717,-88,-182,32,44
-1,99,-3,898,1035,-24,-184,48,52
-1,99,-2,965,1126,242,-171,51,55
-2,99,-1,976,1106,480,-145,53,56
-1,100,0,985,1929,539,-117,93,59
-6,102,3,969,4172,154,-108,222,47
-11,105,2,499,2325,73,-104,134,14
-29,117,17,1514,-2466,128,-98,-77,24
-59,-84,65,3140,2757,-4019,-311,203,64
-114,5,125,177,9260,-19231,-1349,557,-108
-105,79,110,-20395,-7381,-25051,-2677,-316,-1122
-76,88,90,-24747,-15638,-23485,-3898,-740,-1297
-53,51,50,-24747,-13645,-16133,-4753,-663,-1299
-44,-12,26,-24747,-9195,-10434,-5306,-435,-1293
0,-83,-15,-24747,-12160,-1138,-5368,-637,-1289
8,-113,-46,-24747,551,13139,-4671,6,-1318
-82,59,-85,-21431,-20785,12357,-4016,-912,-1329
-37,53,-94,-12195,3233,14501,-3248,232,-854
121,2,119,1094,748,-67,-3251,209,-286
-76,20,-84,9699,-6774,-10523,-3809,-186,187
-33,52,-52,14576,5008,-23626,-5061,342,556
-11,68,-32,20073,15163,-25051,-6389,799,928
29,71,-41,25279,26082,-25051,-7742,1264,1181
-39,86,-43,25279,26082,-13766,-8472,1407,1164
-66,111,-25,25279,26082,3567,-8282,1601,1015
112,82,35,25279,26082,-2484,-8414,1628,986
112,81,49,25279,17586,-14361,-9190,1209,1009
-48,92,59,25279,5773,-21287,-10318,566,1005
31,79,29,25279,-309,-18029,-11273,254,1016
82,70,4,23804,-5776,-18716,-12265,-30,953
-110,51,-9,17477,-11095,-21768,-13441,-325,659
-42,42,9,13342,-10250,-17714,-14380,-351,508
-9,32,33,8514,-6367,-10484,-14935,-287,257
3,25,44,4053,-8401,-1894,-15036,-451,-20
18,14,43,1455,-6553,3377,-14853,-434,-203
20,-2,43,-421,4286,5921,-14540,107,-381
-8,2,34,-6623,10491,9137,-14055,581,-666
-31,17,17,-13227,13776,15120,-13254,901,-915
-76,38,1,-16021,26082,16489,-12364,1596,-1069
87,78,-10,-24747,25289,9912,-11838,1538,-1506
-11,70,-50,-24747,-8961,13813,-11106,-175,-1547
127,62,-25,-24747,-17116,8907,-10634,-558,-1568
121,76,1,-24747,-23944,3521,-10444,-933,-1584
-40,67,0,-24747,-23944,-4335,-10674,-917,-1554
56,41,-11,-24747,-23944,-4681,-10922,-915,-1558
-88,11,-26,-24747,-23944,3300,-10747,-939,-1576
-14,27,-8,-23057,-23944,17575,-9798,-1142,-1308
23,94,-36,-7759,-23328,24975,-8474,-1246,-479
113,84,-60,2293,7365,24975,-7150,583,-115
80,-31,-93,3944,8441,5113,-6879,664,-181
-64,-31,-66,1340,-7916,-11036,-7475,-253,-351
-48,-11,-71,14341,5937,-13809,-8207,429,352
-71,84,-18,21918,14447,-22122,-9358,871,943
-49,84,-22,20331,10451,-23684,-10613,641,916
-53,43,-15,25279,26082,-21516,-11775,1541,1116
83,44,78,25279,26082,-10019,-12306,1569,992
17,46,89,24068,26082,-7168,-12686,1587,919
122,45,42,25279,26082,-7441,-13080,1642,966
-82,43,31,25279,18392,-17317,-14015,1269,992
4,55,22,25279,10617,-20749,-15115,838,989
41,55,37,25279,-5649,-20194,-16185,-4,996
-124,64,53,25279,-9965,-24591,-17489,-289,1040
-55,57,52,16386,-5016,-21386,-18643,-126,651
-4,36,43,9797,-4939,-13862,-19378,-241,310
11,31,45,5402,-518,-6406,-19718,-79,64
9,26,43,1044,2595,-441,-19741,84,-172
4,8,48,-3761,6726,5682,-19434,320,-502
-2,4,38,-6321,7916,11152,-18843,412,-642
-29,17,30,-7166,11940,16807,-17952,756,-622
-97,49,33,-12790,13218,21864,-16794,898,-895
73,70,47,-18540,8176,23721,-15513,676,-1225
-8,85,57,-23899,3169,21392,-14379,428,-1492
-73,102,73,-24747,-14793,18344,-13407,-484,-1538
-112,108,47,-24747,-23944,14251,-12651,-937,-1540
-41,59,53,-24747,-23944,8192,-12209,-949,-1584
85,16,66,-24747,-23944,6749,-11851,-952,-1585
-66,-2,32,-24747,-23944,15397,-11035,-970,-1612
4,23,3,-23431,-23944,24606,-9731,-1269,-1231
-1,99,-45,-8232,-15602,24975,-8382,-814,-511
-106,98,-52,7192,2155,24975,-7059,276,177
38,-28,-101,5206,-5046,15059,-6260,-7,-108
-72,-16,-63,4422,-9561,-9728,-6776,-302,-159
-61,20,-37,15014,7079,-15519,-7614,580,496
-55,71,-13,17137,13276,-23032,-8835,815,732
-47,61,-22,22975,25079,-25051,-10162,1412,1019
-90,20,-27,25279,26082,-17584,-11094,1596,989
49,44,48,25279,26082,-6644,-11453,1633,1011
-49,32,36,25279,26082,-12566,-12119,1642,963
-110,20,-68,25279,26082,-15887,-12961,1635,952
-58,40,-88,25279,20654,-17191,-13872,1333,968
18,66,-72,25279,17136,-16426,-14759,1150,1023
67,71,-2,25279,8502,-12269,-15410,701,1022
-109,34,61,25279,-5293,-11265,-16007,-48,1000
-58,11,73,17521,-6287,-6698,-16362,-174,572
-18,18,55,7581,-11141,-1420,-16439,-517,115
-2,13,37,180,-3528,1800,-16343,-173,-257
-11,-11,26,-3976,435,5470,-16059,102,-631
-25,2,22,-7334,1944,10576,-15498,288,-703
-32,18,20,-11646,6644,15391,-14667,534,-845
-74,47,24,-16848,7054,19452,-13636,569,-1079
114,72,38,-23514,10314,20457,-12552,757,-1439
10,120,35,-24747,-536,19857,-11499,216,-1502
-109,-112,6,-24747,-15313,17602,-10549,-528,-1543
-110,-118,22,-24747,-23944,16335,-9683,-949,-1523
-73,-124,31,-24747,-23944,12118,-9041,-956,-1518
36,110,8,-24747,-23944,10703,-8473,-972,-1499
117,81,-20,-24747,-23944,12741,-7785,-1013,-1509
-58,94,-9,-24747,-23944,19420,-6756,-1098,-1374
-55,95,-38,-24747,-636,21412,-5621,72,-1386
-114,-10,-98,-12769,-5887,18644,-4633,-110,-1011
-127,-36,-62,2204,-3949,4141,-4414,33,-291
-61,-40,-63,-1919,-7157,-10294,-4969,-222,-544
-49,-28,-64,10385,6360,-9716,-5484,454,103
-71,21,-29,21928,11892,-11213,-6079,850,830
-75,44,-10,23353,17443,-17987,-7032,1113,964
-71,24,-17,25279,26082,-18616,-8037,1613,1037
-92,3,-17,25279,26082,-12655,-8708,1634,948
53,26,20,25279,26082,-6582,-9057,1641,969
-80,23,-9,23331,26082,-5364,-9341,1662,856
-128,12,-88,25279,26082,-11929,-9986,1651,971
-61,47,-86,25279,17519,-13368,-10694,1174,972
