-1,100,-1,-14,191,-85,-51,2,0
0,100,-1,-6,237,-159,-60,12,0
0,100,-1,-8,250,-153,-68,13,1
-1,100,-1,-11,176,-113,-74,10,0
-1,100,-1,-25,44,-95,-79,3,0
-1,100,0,-42,-196,-22,-80,-8,0
0,100,0,-74,-531,101,-75,-26,-1
-1,99,0,56,-769,281,-60,-36,3
-28,105,17,1612,-4430,1766,33,-167,16
-75,-113,52,4674,-5856,3223,204,-194,112
-106,-73,57,-3641,-7201,-3124,38,-251,-314
-72,-64,28,-14380,-12040,-10827,-546,-543,-828
-35,-69,11,-16390,-9950,-14169,-1296,-464,-874
-17,-81,15,-16580,-8395,-12774,-1974,-405,-869
-22,-90,32,-19524,-11229,-8886,-2445,-542,-1042
-11,-111,28,-25160,-7755,-8293,-2892,-385,-1347
-15,106,3,-25160,-533,-11964,-3527,5,-1310
-2,57,-12,-19016,2704,-14709,-4306,144,-1012
6,21,-5,-12379,5855,-14872,-5094,229,-714
18,6,-5,-13374,161,-10771,-5676,-255,-980
27,-4,-25,-10618,2014,-6531,-6022,-83,-921
21,1,-31,-1402,2614,-655,-6057,-3,-415
13,23,-18,11298,-1428,7556,-5656,-170,403
-1,59,9,24866,98,14021,-4899,8,1256
-33,103,55,24866,-656,17655,-3963,28,1141
-46,-89,104,24866,4731,16474,-3090,292,1132
-100,-63,-110,21863,5063,12956,-2404,346,946
-117,-69,-100,13543,1373,7889,-1978,172,521
-114,-65,-88,5038,75,1741,-1885,99,74
-93,-69,-121,-8049,-4514,-3858,-2090,-143,-569
-57,-86,88,-15469,-6759,-5627,-2388,-278,-909
-37,-100,64,-15962,-3854,-5419,-2681,-151,-924
-34,-115,49,-16867,132,-6474,-3024,57,-946
-29,119,35,-22099,-980,-9053,-3504,2,-1204
-13,75,10,-25160,2561,-11202,-4097,169,-1327
-7,26,-8,-22205,7628,-13164,-4808,455,-1239
-2,-2,-15,-17909,2433,-11685,-5428,153,-1298
18,-22,-24,-12370,1850,-7940,-5841,-22,-1118
18,-19,-28,-4937,1902,-2731,-5985,-17,-727
12,-11,-29,3804,-2177,2844,-5832,-200,-236
10,22,-9,15774,-2757,8125,-5401,-234,677
-6,70,21,24866,-891,13396,-4691,-25,1197
-37,113,55,24866,3198,15417,-3874,228,1147
-59,-101,93,24866,1459,15514,-3036,146,1151
-80,-85,119,24224,2658,14183,-2284,218,1076
-101,-76,-103,20630,2306,11844,-1657,208,871
-112,-59,-83,13394,-439,8679,-1197,69,501
-107,-48,-102,1032,-788,1322,-1127,48,-110
-73,-58,101,-14351,-2324,-7392,-1526,-48,-868
-44,-83,52,-19973,-1051,-10637,-2090,0,-1098
-38,-108,36,-19950,402,-11587,-2704,75,-1088
-34,119,29,-20849,-2514,-10958,-3285,-65,-1139
-25,83,19,-20952,-5352,-8870,-3764,-213,-1165
-19,46,14,-18087,-1259,-8744,-4227,21,-1024
-12,17,8,-16897,-940,-9339,-4722,79,-1014
6,-7,-1,-15471,410,-9524,-5227,-145,-1334
21,-18,-12,-13434,16,-6863,-5597,-174,-1198
26,-19,-27,-6678,2321,-2399,-5725,-37,-805
11,-10,-20,4380,1155,2568,-5589,-44,-229
7,24,-9,14367,1610,9281,-5097,15,632
-13,79,27,24866,-33,14916,-4291,32,1210
-41,118,67,24866,768,17159,-3382,105,1134
-59,-97,116,24866,4262,15804,-2544,282,1112
-101,-85,-108,20783,7093,13622,-1822,455,876
115,-84,-77,12792,-2021,10391,-1261,12,455
-120,-87,-72,4629,-3345,3548,-1073,-68,30
-97,-83,-105,-3156,-2534,-2237,-1191,-38,-340
-63,-85,114,-13512,-4852,-6480,-1535,-179,-831
-40,-103,81,-18136,-4061,-7298,-1929,-158,-1058
-28,-117,67,-19499,-2298,-7344,-2318,-76,-1098
-25,111,41,-22110,633,-8983,-2794,79,-1215
-13,69,14,-22728,1615,-10959,-3375,122,-1214
-2,25,-6,-20038,1849,-10600,-3948,116,-1098
7,-6,-18,-15131,-436,-6957,-4310,-102,-1185
15,-19,-20,-10897,611,-3214,-4480,-81,-1057
10,-19,-27,-6406,2703,-1434,-4556,66,-815
6,-9,-23,3132,-459,2238,-4435,-85,-280
-2,16,-2,14352,933,6828,-4073,76,686
-15,60,41,21869,-408,10111,-3537,25,972
-40,95,77,23576,1756,12223,-2889,160,1035
-62,114,109,23555,2530,12989,-2188,216,1034
