13,96,22,-322,-502,565,399,5,3
13,96,22,-186,-708,419,421,-29,-4
14,97,22,-204,-794,15,422,-34,-6
15,97,23,-168,-587,-537,393,-27,-8
18,96,25,-209,-471,-824,349,-26,-17
20,95,25,-444,-447,-619,317,-31,-32
20,95,23,-362,-267,-67,313,-21,-24
18,96,22,-230,-280,259,327,-18,-12
16,96,21,-103,-442,254,341,-21,-2
20,100,25,119,-149,-126,334,-13,0
28,112,59,1197,9233,-1713,243,457,5
8,120,112,-5613,6542,-2576,104,365,-398
6,-113,-127,-16499,0,-4013,-108,30,-942
41,-116,117,-22194,2531,-4288,-335,115,-1229
26,-113,122,-21380,12424,-3059,-494,626,-1166
24,-120,109,-25228,6788,-842,-540,358,-1399
9,-126,96,-25228,6703,1303,-470,366,-1364
-6,109,81,-25210,6392,548,-441,374,-1364
-10,78,77,-24090,3768,640,-408,252,-1340
-13,43,75,-23196,948,1097,-348,123,-1379
-12,6,71,-23624,-511,2925,-193,51,-1475
-18,-20,54,-22554,-2016,4573,48,7,-1520
-25,-33,32,-20474,-4539,5742,353,-78,-1493
-19,-40,20,-14603,-5812,8568,815,-168,-1270
-30,-37,13,-10054,-4307,10571,1376,-32,-1000
-37,-42,7,-6697,206,10310,1922,213,-827
-48,-45,-5,-5463,6159,9835,2443,539,-743
-67,-47,-24,-4456,7148,8906,2924,615,-658
-86,-37,-27,-266,7754,7560,3325,680,-396
-103,-30,-29,102,4609,2961,3482,543,-352
-95,-26,-30,2323,2200,-2955,3325,418,-235
-82,-30,-22,6338,1354,-7077,2943,369,-45
-69,-31,-6,10925,3793,-9473,2441,492,164
-49,-26,13,16325,1203,-8916,1968,332,424
-53,-32,35,20261,3777,-6529,1622,421,627
-55,-40,40,23213,6264,-2970,1462,538,787
-48,8,54,24797,6720,0,1462,546,993
-85,40,56,24797,2787,684,1498,384,1052
-56,80,70,24797,2761,-1674,1410,291,1133
-63,95,86,24797,-4976,701,1447,-115,1157
-7,117,-118,24797,-1696,2511,1581,-38,1128
-80,113,103,23444,-6471,4634,1826,-179,1062
-32,-127,108,21644,-15041,-498,1800,-682,1001
-20,-122,-109,17125,-12535,1052,1855,-576,745
-44,119,123,6468,-4324,-1345,1784,-123,203
-49,98,81,1117,-4669,-3502,1599,-114,-53
-53,101,90,502,-12019,-2806,1450,-487,-93
-58,110,107,-2587,-7711,-3600,1255,-278,-261
-92,119,97,-6861,-8896,-5605,958,-290,-477
-92,126,83,-11011,-11912,-9487,455,-442,-672
-78,126,77,-14219,-10457,-12630,-213,-381,-822
-72,112,67,-16592,-6498,-15245,-1036,-182,-959
-58,87,59,-18054,-6564,-17115,-1943,-179,-1028
-48,64,55,-17526,-5422,-17468,-2869,-118,-1022
-35,39,49,-15467,-3331,-16887,-3764,-13,-951
-29,22,50,-11546,-351,-16698,-4666,130,-809
-8,18,58,-8013,1594,-17092,-5572,152,-631
9,12,68,-6048,3587,-17118,-6479,191,-561
28,-7,76,-5161,3653,-16111,-7333,144,-578
46,-27,78,-4837,3280,-12996,-8035,90,-612
49,-40,74,-3732,4605,-9117,-8518,151,-581
55,-55,72,-2646,3057,-4172,-8739,68,-553
57,-59,71,-1175,2324,1370,-8667,30,-486
34,-45,65,204,2380,6476,-8317,67,-410
15,-35,63,2619,-63,10265,-7783,-12,-276
-1,-22,72,4165,-1888,11972,-7148,-51,-151
-2,-13,79,3338,-871,13610,-6427,0,-163
2,-5,78,2654,601,16898,-5531,62,-176
-22,11,78,1100,2548,20004,-4451,234,-206
-37,16,62,-296,5457,23185,-3222,436,-258
-59,44,62,1797,3999,24261,-1937,393,-93
-80,51,40,869,6692,25032,-610,581,-130
-80,71,37,6396,2582,25032,741,350,193
-95,81,43,12134,1642,25032,2068,305,474
-85,121,52,16396,5879,25032,3394,468,741
-86,122,45,16565,4789,22247,4574,416,753
-58,-118,37,16278,5767,18870,5593,426,801
-39,-113,32,11781,7823,14437,6358,496,586
-40,-111,32,7854,8952,10641,6922,554,387
-33,-114,54,18230,14081,8125,7352,804,896
-61,-104,47,5509,9643,-1454,7274,623,243
-24,-127,18,-15567,-5118,-4342,7044,-180,-779
6,97,9,-15928,-14732,-339,7026,-726,-771
27,105,53,-3310,1719,1654,7113,73,-221
7,-114,92,-5096,6038,917,7163,341,-331
9,-94,100,-14553,4231,-1520,7082,242,-801
17,-89,95,-19385,6266,-3629,6890,336,-1041
7,-78,97,-22747,5344,-4495,6652,302,-1206
11,-88,86,-25228,7270,-6566,6297,401,-1352
-3,-112,81,-25228,5076,-6555,5950,301,-1335
-15,103,73,-25228,3898,-5106,5679,264,-1362
-21,48,62,-25228,-3569,-3257,5506,-80,-1433
-16,6,37,-25228,-6987,1286,5576,-229,-1567
-15,-9,36,-24515,-14387,9270,6067,-606,-1596
-18,-10,23,-22474,-14024,12535,6732,-531,-1517
-15,-26,13,-15383,-11381,13058,7424,-431,-1284
-29,-32,2,-9948,-3184,13829,8171,43,-999
-76,-46,-17,-7699,-2226,9719,8686,152,-809
-76,-56,-19,-3909,-927,4777,8939,197,-636
-85,-60,-17,-117,-1090,3518,9125,197,-439
-90,-60,-3,1771,-2535,-780,9083,131,-337
-71,-65,8,2561,1469,-3489,8898,303,-332
-63,-60,19,5303,9878,-4859,8641,721,-193
-57,-47,19,4654,11781,-7364,8258,820,-212
-40,-44,10,5572,13941,-10797,7675,928,-191
-30,-38,6,8609,17594,-10490,7119,1086,-60
-13,-33,6,10964,11790,-8427,6672,726,1
-10,-37,12,18345,16699,-4139,6453,949,374
-15,-32,40,23085,11244,2673,6597,687,755
-51,-23,51,23887,12362,7390,6989,835,849
-43,16,70,24797,7262,11398,7593,532,1011
-86,70,85,24797,2519,14283,8350,318,1087
-71,90,90,24797,987,10756,8931,206,1142
-65,120,88,24797,-825,12621,9600,91,1157
-51,-121,69,24797,-8565,12078,10240,-322,1197
-4,-86,63,24797,-6700,16436,11111,-297,1245
-29,-89,62,17904,-11332,12197,11770,-511,904
5,-103,57,8978,-7363,9296,12262,-343,439
-14,-114,46,3322,-7390,7815,12677,-315,158
-6,-110,86,7978,2576,5212,12953,178,348
-36,-117,46,-9628,-8630,-1168,12890,-352,-525
-12,100,15,-15050,-10435,-3445,12707,-465,-744
-8,97,20,-5085,-858,-1279,12639,14,-245
-50,122,41,-3851,-6367,-2390,12513,-199,-243
-55,-119,48,-8357,-7771,-9203,12016,-281,-480
-56,-115,52,-9241,-5144,-14200,11263,-140,-519
-67,-115,62,-9378,-6988,-16235,10402,-222,-543
-62,-124,62,-11618,-8268,-16313,9538,-289,-661
-57,114,60,-12797,-9526,-15580,8696,-359,-742
-58,100,54,-14495,-8167,-15226,7889,-269,-825
-64,83,51,-14548,-7987,-15425,7072,-235,-852
-58,67,51,-13774,-6994,-16438,6201,-180,-830
-49,53,53,-12109,-5157,-17653,5247,-97,-776
-32,37,58,-10108,-2227,-18054,4290,26,-693
-19,20,62,-9919,-1460,-19326,3266,30,-731
0,1,57,-8295,1913,-18593,2281,138,-710
3,-4,58,-5861,4919,-17311,1346,281,-613
25,-13,71,-3599,5671,-16157,490,248,-516
44,-25,82,-2641,6419,-13003,-199,257,-489
57,-44,86,-2293,5658,-7785,-611,203,-504
50,-57,85,-1202,4152,-1021,-666,149,-477
23,-52,81,180,4077,4194,-444,190,-413
5,-44,71,470,1512,5730,-146,99,-398
3,-29,74,2824,610,8645,311,58,-235
-1,-16,81,2587,1403,10857,897,114,-205
-11,-10,81,2238,-458,13439,1610,47,-209
-5,2,80,1434,5616,16103,2463,340,-214
-24,18,72,-2438,2426,18823,3461,234,-363
-41,17,51,-4773,8495,22931,4699,629,-482
-65,48,46,-3646,4970,25032,6026,469,-355
-105,51,36,-3974,5641,25032,7353,561,-397
-110,77,37,-2335,6299,25032,8679,567,-278
-115,69,33,864,2552,22195,9878,396,-130
-105,88,33,3614,4487,20382,10958,458,44
-88,95,32,7177,2226,19199,11976,317,251
-82,104,30,12093,291,19071,12987,202,520
-46,122,35,16833,2289,16818,13895,237,835
-53,123,33,10368,922,12761,14571,175,484
-28,125,35,8916,-3525,11606,15186,-91,439
-20,123,43,12099,-600,10828,15760,42,596
-84,-105,42,17039,20082,3376,15942,1192,820
-41,-117,25,-6335,-5053,-3731,15745,-153,-333
0,105,0,-14944,-7277,-3616,15553,-333,-697
6,92,0,-6785,3029,-1363,15481,176,-296
-18,107,33,-1851,2666,506,15508,211,-107
-11,127,67,-6738,154,-597,15475,64,-396
-5,-128,75,-11314,2933,-2637,15336,196,-632
-1,-122,85,-13237,6481,-2835,15185,370,-737
-4,-115,87,-15990,8293,-4289,14958,466,-875
-7,-116,87,-18453,8745,-5390,14667,501,-1019
-10,127,95,-19277,8019,-6068,14345,460,-1063
-16,114,94,-21749,7215,-5119,14074,431,-1201
-24,96,95,-23500,1202,-3595,13883,140,-1312
-21,84,86,-25228,-50,-1461,13804,76,-1428
-36,53,74,-23819,-819,-1144,13744,84,-1374
-27,34,79,-22390,-845,-475,13718,64,-1343
-22,10,65,-21093,1165,1293,13787,171,-1331
-32,-7,44,-18832,1381,3054,13952,252,-1303
-49,-19,30,-16774,-4427,3766,14152,30,-1221
-49,-30,24,-14550,-508,4211,14375,218,-1150
-65,-38,9,-13822,3708,2776,14522,461,-1119
-71,-51,-11,-13122,-1729,1111,14582,164,-1115
-50,-67,-29,-8517,910,481,14607,221,-916
-51,-68,-37,-3985,2699,1562,14690,310,-685
-53,-72,-42,-1806,123,1915,14791,175,-571
-58,-75,-37,2407,-2409,2435,14923,52,-359
-67,-66,-10,5367,-4185,1990,15028,6,-197
-71,-58,10,4747,-2974,328,15046,88,-208
-73,-48,14,5976,5551,-4037,14832,544,-120
-71,-36,13,6515,10344,-9979,14293,821,-61
-48,-31,10,7953,8189,-12402,13636,678,-18
-35,-34,6,10736,9893,-11209,13041,721,75
-33,-41,2,14061,11718,-8593,12586,792,218
-18,-46,11,16914,6864,-5357,12297,477,322
3,-27,39,22481,7313,2328,12420,393,711
-48,18,59,24797,10396,9814,12940,719,1020
-60,47,83,24797,3484,11520,13551,344,1066
-74,80,85,24797,2824,12554,14229,315,1131
-68,112,101,24797,-2140,11620,14845,26,1137
-59,-115,105,24797,-5635,12820,15524,-174,1165
-37,-122,110,24797,-8593,10028,16056,-350,1163
-18,-111,91,23653,-1777,7935,16484,-29,1161
-22,-117,52,18058,4920,6273,16817,323,895
-18,-121,45,12066,-451,8060,17244,45,599
-27,113,73,17524,-9972,10233,17786,-422,818
-29,-91,98,16249,-3633,4609,18035,-114,780
-21,-118,38,-9710,-439,-2751,17889,49,-499
0,104,-5,-19173,-7943,-2984,17731,-366,-921
12,85,-15,-9581,-2384,3334,17908,-115,-473
0,96,-7,569,8478,4276,18139,478,77
-30,109,11,1113,4883,2079,18249,349,55
-42,113,34,-1712,-5709,3188,18418,-173,-124
-45,121,53,-2655,-11088,875,18464,-449,-190
-37,-126,57,-4264,-7036,-3286,18287,-267,-265
-50,-117,43,-9084,-6032,-7755,17876,-191,-499
-45,-121,28,-11081,-7203,-10745,17306,-255,-584
-55,-123,26,-9493,-5413,-13870,16571,-147,-516
-55,-122,30,-9080,-6513,-16899,15659,-211,-506
-59,-124,31,-9648,-4190,-19797,14609,-79,-533
-57,116,27,-9503,-3553,-23675,13355,-40,-532
-50,99,35,-6612,-4120,-23780,12094,-69,-398
-49,85,46,-5134,-2404,-24377,10778,20,-353
-43,69,56,-3736,-317,-24531,9478,126,-307
-43,47,59,-3132,655,-24117,8199,191,-322
-37,23,63,-1417,-1245,-23110,6974,90,-296
-22,1,66,-775,825,-21432,5839,155,-329
-16,-11,67,1548,274,-18270,4870,106,-252
-5,-14,82,2483,-633,-14803,4086,20,-208
13,-25,95,2242,-303,-12636,3416,-7,-239
26,-34,101,565,2800,-7426,3015,127,-337
18,-39,92,-2234,3911,-3038,2854,196,-498
6,-51,77,-3393,2343,594,2885,141,-601
-1,-46,73,-1420,1850,4932,3147,135,-497
-12,-33,73,-706,1937,8246,3592,174,-428
-14,-18,71,-78,1207,10867,4168,145,-356
-19,-13,78,-211,1054,14517,4937,146,-343
-29,0,82,-1638,2122,17723,5877,225,-379
-50,9,79,-3759,2156,20531,6985,279,-466
-47,35,72,-4453,6959,22257,8165,515,-433
-85,48,43,-7087,7846,24328,9455,648,-548
-82,45,22,-7014,2851,25032,10781,417,-539
-98,67,20,-2951,3150,25032,12133,419,-312
-104,79,14,-2286,6586,21415,13268,582,-263
-93,84,11,139,4801,19401,14296,472,-119
-83,97,13,4242,4123,19438,15327,409,117
-82,104,7,6576,5693,17133,16252,486,253
-66,112,9,10796,2820,13863,16987,303,491
-50,122,27,12297,-3503,12366,17642,-51,590
-28,123,28,9716,273,11896,18272,103,487
-32,119,21,6211,1410,9913,18808,172,314
-11,-110,47,24797,3992,9454,19309,258,1253
-76,-90,49,4024,1915,-161,19300,230,155
-11,-126,2,-21413,-7109,-4036,19086,-302,-1044
6,93,-20,-19593,-2902,-2670,18942,-127,-1002
4,81,-16,-2796,6551,-815,18899,358,-124
-11,99,1,5364,7954,257,18913,470,311
-13,111,26,1901,3181,678,18949,226,103
-12,116,57,-3753,-1199,730,18988,-1,-235
-2,126,81,-8139,90,-9,18987,46,-479
0,-117,89,-11879,4415,-1196,18924,264,-669
1,-104,90,-16628,4189,-1968,18820,249,-903
4,-104,86,-19381,8529,-4633,18569,474,-1057
1,-111,85,-21732,10358,-6658,18217,563,-1162
-6,-128,82,-24443,8148,-6676,17863,462,-1309
-18,100,70,-25228,-45,-4389,17630,70,-1361
-25,71,74,-24411,-1403,-2439,17501,22,-1367
-38,49,85,-22450,721,-1708,17409,162,-1347
-42,30,90,-20942,811,-1439,17334,174,-1272
-36,7,70,-21803,-1161,-574,17303,87,-1383
-33,-19,66,-18654,-4481,670,17339,-87,-1302
-21,-27,52,-18684,-5112,3889,17549,-147,-1365
-38,-43,21,-17180,-9425,5576,17844,-285,-1345
-32,-46,17,-10789,-9483,6507,18189,-313,-1050
-45,-47,12,-10366,-11754,7322,18577,-388,-1003
-44,-56,3,-7183,-3895,7099,18961,-11,-874
-63,-60,-5,-4502,-985,6402,19300,173,-697
-73,-64,-11,-1608,3315,3332,19477,400,-540
-80,-67,-9,880,2677,1206,19541,373,-408
-72,-65,0,2412,2447,-509,19513,356,-337
-68,-60,12,4707,7274,-2101,19402,599,-219
-63,-51,20,6489,11109,-3824,19199,798,-114
-70,-47,22,6612,12458,-7279,18813,885,-88
-47,-46,14,4954,9109,-9755,18286,686,-211
-31,-52,-1,6869,11599,-10220,17745,752,-181
-28,-49,-4,12386,11219,-7120,17367,728,96
-22,-39,11,18363,8535,-2122,17255,586,408
-15,-12,31,22815,4392,1374,17329,367,812
-33,3,44,24797,8174,5598,17626,603,980
-67,40,68,24797,6706,10436,18179,540,1058
-73,87,82,24797,1901,7874,18596,260,1120
-78,118,88,24797,1499,7036,18976,227,1171
-51,-118,106,24797,-3467,8086,19405,-71,1165
-37,-110,87,24797,1052,8067,19832,141,1194
-33,-93,71,24797,-1714,9812,20353,-6,1224
-30,-96,63,17527,-4875,10386,20913,-174,879
-32,-112,48,9320,-4545,8611,21370,-145,451
-32,117,63,15687,-14076,7927,21790,-623,738
-28,-98,89,11381,1246,4182,22012,137,522
-28,120,18,-10925,-2803,-2995,21850,-53,-564
3,79,-28,-9286,-4771,-1983,21745,-212,-485
-1,84,-21,1289,2643,2432,21874,176,74
-10,100,-3,2982,1669,3355,22051,147,191
-18,104,2,-1364,-761,1193,22116,39,-46
-18,103,17,-1170,-8011,2607,22254,-330,-48
-27,113,38,-1074,-9054,3271,22428,-370,-80
-36,125,50,-3854,-7931,1031,22482,-305,-236
-47,-124,44,-8163,-5451,-4103,22261,-168,-463
-56,-123,38,-9980,-5445,-8685,21800,-150,-550
-58,-126,31,-10632,-4814,-12074,21160,-112,-583
-76,-125,28,-10745,-5607,-14706,20396,-123,-597
-80,123,24,-9840,-6679,-18250,19410,-177,-581
-80,121,36,-8027,-7979,-19481,18378,-238,-486
-74,108,42,-9745,-6937,-20434,17295,-183,-584
-78,95,43,-9612,-6719,-20611,16202,-156,-595
-70,87,47,-8503,-3867,-23427,14937,-20,-552
-52,57,40,-8419,-2717,-23335,13700,48,-560
-39,37,38,-6412,-1324,-22725,12496,117,-484
-24,24,49,-2267,72,-22452,11306,138,-313
17,5,64,-361,-257,-20493,10199,-37,-292
34,-10,78,1880,633,-14495,9431,-23,-225
30,-23,90,587,1116,-8299,8991,22,-320
15,-41,90,-493,2200,-3280,8817,114,-416
2,-46,89,-1012,3717,236,8830,224,-456
-4,-39,80,-1310,3805,3053,8992,243,-466
-5,-23,72,-1259,1129,6192,9320,113,-431
5,-9,76,472,760,11607,9935,62,-298
-8,-4,70,-113,5390,16267,10814,345,-313
-36,14,59,-1710,7619,20702,11911,550,-336
-55,28,55,-3753,5805,23106,13135,500,-406
-57,52,38,-5090,9362,25032,14462,679,-404
-87,57,29,-6239,8136,25032,15814,673,-489
-89,94,16,-6402,6284,25032,17141,530,-435
-103,92,-2,-1400,7029,25032,18467,589,-199
-98,119,2,5378,4316,25032,19794,416,180
-87,-126,8,10035,3368,21804,20972,348,450
-63,-118,4,11940,6345,18183,21935,460,573
-60,-124,-7,9032,11597,13461,22635,716,416
-55,123,-5,10754,4018,9802,23155,339,515
-41,-128,8,10075,-151,5964,23477,102,514
-49,-89,85,17316,25524,1219,23541,1395,824
-43,125,6,-8091,-4971,-3637,23349,-138,-423
-18,104,-13,-11828,-9483,-3180,23180,-404,-585
7,96,-7,-6476,-7012,-136,23173,-341,-294
-8,111,15,-3761,3890,57,23176,253,-162
-20,-128,41,-6354,835,-1663,23088,114,-337
-19,-119,64,-11649,-945,-2127,22975,19,-632
-2,-115,75,-14580,3031,-5331,22687,199,-802
0,-108,80,-18087,5015,-5661,22387,294,-968
-2,-103,88,-20241,6249,-5627,22089,359,-1084
-17,-104,96,-25228,6251,-6668,21735,378,-1348
-11,-127,90,-25228,5175,-7535,21328,323,-1383
-32,107,86,-25228,3435,-6431,20987,265,-1379
-30,79,77,-25228,-340,-5529,20694,83,-1403
-36,46,70,-25228,-77,-3913,20487,128,-1457
-40,15,64,-25228,-5227,-3316,20311,-100,-1531
-24,-14,40,-25228,-8751,457,20336,-296,-1669
-22,-46,4,-21061,-11249,6176,20663,-432,-1621
-45,-50,-10,-13186,-20634,8966,21139,-847,-1156
-28,-36,22,-3822,-13301,10043,21671,-502,-669
-46,-29,29,-6074,-2847,10151,22219,83,-722
-76,-48,7,-7317,3767,6175,22546,458,-796
-78,-63,-2,-5663,1966,2591,22684,341,-739
-79,-69,-17,-3698,920,1118,22743,277,-644
-76,-69,-17,1292,-88,95,22748,220,-393
-69,-59,-6,3886,2509,-695,22711,362,-259
-67,-57,0,4195,2317,-1929,22609,354,-242
-67,-46,8,5674,4109,-3504,22423,467,-143
-65,-30,8,6043,7370,-7713,22007,677,-79
-51,-30,7,9280,6901,-11890,21377,622,54
-24,-38,5,14617,11829,-10721,20808,767,219
-24,-31,19,21274,11303,-4246,20583,748,606
-25,-18,41,24797,4025,3,20583,365,908
-32,0,66,24797,7989,2479,20715,547,966
-53,33,86,24797,8441,6989,21085,587,1041
-65,75,99,24797,-816,6728,21442,107,1096
-46,102,95,24797,2419,5971,21764,236,1166
-42,117,89,24797,-2796,7012,22136,-39,1167
-26,-118,72,24797,-3934,9260,22627,-122,1210
-15,-90,61,24797,-7690,13727,23354,-333,1244
-9,-113,63,23314,-10400,9023,23842,-486,1177
-1,-109,49,14509,-1354,6390,24180,-28,729
-16,-118,33,7377,-9498,8163,24613,-417,380
18,-114,68,9157,-10588,6061,24934,-527,426
-31,-110,52,-1731,4245,-2533,24797,303,-114
-4,103,-4,-11795,-4462,-4175,24576,-178,-549
11,82,-23,-6769,-4430,-1155,24515,-217,-350
8,95,-11,1997,1783,3113,24680,109,133
-16,108,6,1838,3293,2035,24790,244,122
-25,116,21,-3175,-2008,1460,24867,-15,-159
-36,120,42,-5744,-8621,376,24887,-337,-325
-28,-127,59,-7603,-3688,-2447,24758,-104,-429
-47,-118,51,-11564,-1848,-5682,24451,14,-641
-52,-122,32,-14974,-3780,-9507,23947,-71,-794
-55,127,25,-13348,-1812,-13959,23207,38,-715
-68,-128,32,-11649,-1422,-16467,22334,75,-649
-79,125,34,-10945,-1579,-20067,21270,84,-630
-79,113,34,-8733,-454,-23143,20044,151,-528
-75,99,29,-6522,-2732,-24189,18762,43,-423
-66,84,30,-3635,-1816,-24993,17437,91,-282
-51,65,36,-903,-3122,-23903,16146,13,-156
-40,49,57,2325,1267,-23121,14921,214,-36
-36,26,73,2608,778,-21432,13785,177,-89
-28,12,91,3010,1439,-19263,12764,181,-112
-10,-7,91,1047,558,-17992,11792,93,-257
4,-17,84,1154,2096,-14080,11046,133,-283
13,-25,81,139,2496,-10526,10488,129,-355
19,-34,78,-332,2672,-5017,10222,122,-404
9,-48,74,-443,3899,1355,10296,217,-449
-11,-40,78,1069,247,6658,10649,80,-347
-15,-17,98,425,-142,10119,11185,65,-311
-25,-12,93,-2612,590,13106,11880,129,-456
-34,3,78,-3748,1619,15369,12709,216,-478
-57,11,63,-5237,-568,17157,13619,176,-530
-53,11,51,-5138,619,18747,14612,251,-521
-71,26,46,-4993,5012,20040,15675,506,-479
-89,29,41,-6520,52,20757,16796,282,-566
