-21,97,15,-25,-507,199,127,0,-1
-21,98,15,-63,-479,215,138,-23,-4
-21,97,15,-8,-457,180,148,-21,-2
-20,97,16,-46,-363,41,150,-18,-3
-20,97,15,-16,102,-23,149,3,0
-21,97,15,157,-96,-155,140,-3,6
-20,98,18,112,-543,-69,137,-29,2
-21,98,16,-304,-402,-30,135,-20,-17
-21,97,13,-140,-297,-114,129,-15,-4
-21,96,13,-2,41,-194,119,3,0
-27,99,15,66,1950,-603,87,112,-7
-107,113,55,-1187,396,-5078,-187,133,-188
127,-119,118,-8401,-12817,-12301,-839,-558,-575
-92,-102,-96,-14117,-15445,-14765,-1621,-743,-858
-55,-91,-106,-19585,-15447,-11271,-2218,-778,-1113
-34,-84,-117,-22799,-21990,-4637,-2469,-1152,-1281
3,-84,-126,-25215,-24872,5015,-2203,-1316,-1371
46,-99,112,-24623,-24872,16160,-1347,-1367,-1344
60,-108,88,-22775,-18406,24368,-55,-1061,-1242
41,-127,54,-19557,-10398,24960,1292,-652,-1065
9,99,24,-14880,-3215,24960,2615,-233,-757
-55,54,-1,-11054,-2063,24960,3938,28,-684
-104,22,-7,-7592,-6240,16478,4811,-57,-637
122,-20,-9,-883,-347,9627,5331,255,-381
94,-27,-23,49,10465,-4246,5106,794,-336
-109,-17,-26,2013,9946,-15128,4304,753,-233
-53,6,-28,8623,18894,-18820,3306,1158,162
-40,50,-23,20143,24800,-20169,2217,1382,931
-42,102,22,24810,22740,-17826,1272,1197,1221
-52,106,81,24810,15411,-10171,733,822,1152
-31,101,119,24810,9316,-4746,487,462,1095
-59,119,114,24810,24546,2950,646,1304,1156
99,-109,123,24810,19940,9661,1158,1124,1107
59,-104,-67,24810,1201,6420,1498,169,1078
63,-112,-18,16501,-9844,-2420,1370,-409,639
69,116,-78,2552,-6234,-12252,721,-199,-73
23,114,68,-1455,-8401,-22997,-520,-242,-274
26,-107,1,459,-18128,-25066,-1849,-742,-145
76,-102,-7,2295,-20008,-25066,-3177,-868,-21
-81,125,0,-796,-20420,-25066,-4506,-954,-113
-10,81,13,-1678,-18334,-25066,-5859,-970,-73
19,57,33,-2313,-12678,-23403,-7100,-756,-194
28,38,38,-3880,-10024,-15374,-7915,-668,-341
44,16,45,-1847,-7803,-8231,-8351,-613,-335
58,-3,49,-1333,-6206,-2672,-8495,-568,-381
61,-20,45,-416,-2936,3818,-8293,-401,-381
70,-12,24,1199,888,11915,-7661,-276,-277
54,6,12,5520,4052,19857,-6609,-143,5
35,34,-21,5553,13882,24471,-5287,508,147
-73,67,-48,9285,21305,24960,-3965,1202,321
-92,81,-43,16360,15352,24960,-2642,913,686
-80,-122,-18,22717,20591,24960,-1319,1121,1089
110,-47,-3,21514,25154,24960,28,1395,1035
60,-29,-11,13977,25154,24960,1351,1394,607
22,-60,7,11063,16596,15475,2171,996,422
