-16,103,26,-107,-1914,-4616,-2993,2,-2
-17,93,22,182,-1987,-5273,-3273,-89,6
-12,95,18,-458,-1090,-6376,-3611,-54,-12
-7,104,12,-484,-513,-5538,-3910,-39,7
-8,99,7,614,132,-3713,-4107,-4,69
-14,91,8,1598,341,-2435,-4236,24,104
-21,97,9,1840,-1742,-1751,-4329,-67,103
-20,103,7,1607,-1666,-1334,-4401,-70,99
-25,106,9,2272,-801,-258,-4414,-16,122
-32,110,14,1721,-2039,414,-4392,-67,80
-31,109,13,537,-2206,136,-4385,-77,21
-28,101,10,-404,574,-456,-4410,62,-22
-29,95,9,-736,1466,-1019,-4464,112,-44
-28,102,10,-1394,356,-1169,-4526,49,-71
-24,102,4,-1904,1093,-967,-4577,79,-87
-70,95,-7,-1007,3909,-1835,-4676,318,-134
-94,89,10,4296,-9150,-4261,-4902,-309,96
-107,92,2,14493,-49,-2967,-5059,164,604
-120,-121,1,17406,-14482,-672,-5095,-600,783
-61,-79,16,11572,-24567,3651,-4898,-1226,585
-49,-59,8,-4515,-16805,990,-4845,-828,-222
-29,-69,-20,-19525,-17167,-4738,-5096,-867,-972
-11,-87,-19,-25235,-10305,-7136,-5475,-538,-1249
-7,-110,-14,-25235,-8555,-12642,-6145,-452,-1244
6,107,5,-25235,-3032,-15803,-6998,-200,-1261
-4,82,22,-25235,7402,-19422,-8028,358,-1282
-14,54,-5,-25235,-3889,-19722,-9073,-168,-1283
4,17,-12,-25235,-5609,-17800,-10016,-363,-1365
0,5,-8,-19659,-1195,-14487,-10799,-90,-1179
19,-14,-28,-10113,-1090,-7675,-11205,-207,-902
20,-18,-16,41,-1198,282,-11190,-248,-435
-1,-20,13,12803,-1091,6916,-10824,-74,133
-18,-17,53,20303,-5251,9512,-10310,-229,688
-32,0,107,24791,-9019,9878,-9787,-420,967
-18,32,-112,24791,-4371,8887,-9316,-223,1015
-37,44,-114,24791,664,11478,-8707,60,1032
-51,63,-110,24617,3461,7659,-8294,221,1069
-41,78,115,24791,7755,6241,-7963,431,1096
-39,101,101,24791,9027,8828,-7495,491,1137
-49,-106,62,24791,12484,10067,-6961,673,1214
-53,-62,69,24791,-2358,9659,-6440,-93,1252
-36,-62,51,6760,-709,5425,-6152,-24,336
-36,-81,0,-10910,-6558,-2864,-6304,-316,-537
-6,-105,-29,-10602,-2300,-3972,-6514,-136,-520
-13,-111,-20,-13333,-1239,-3878,-6724,-73,-664
-9,-124,-7,-20533,-1900,-4661,-6971,-110,-1001
-2,102,-3,-25235,1993,-9184,-7458,78,-1230
-18,78,-1,-25235,3019,-14319,-8217,177,-1272
3,56,-6,-25235,-44,-17504,-9162,-47,-1273
5,30,1,-25235,7497,-18057,-10119,310,-1263
-6,17,15,-25235,4449,-18630,-11106,260,-1394
7,-6,1,-21930,-4019,-15459,-11926,-417,-1582
7,-24,4,-12520,-8537,-8091,-12363,-541,-1222
-4,-22,23,-2424,-1906,-1861,-12461,-95,-590
-19,-24,47,1245,-3909,870,-12416,-143,-335
