-9,99,-4,5,-1,0,0,-112
-8,99,-4,-12,-2,1,0,110
-9,99,-4,-28,0,0,0,-114
-9,99,-4,-40,0,0,0,-78
-17,102,-3,-50,16,-15,0,89
-64,115,9,-119,95,-90,1,-55
-84,142,31,-564,114,-104,1,-744
-98,140,24,-1377,138,-128,1,-1380
-87,116,0,-2277,125,-135,1,-2111
-76,95,-28,-3153,109,-144,0,3263
-63,79,-65,-3964,75,-167,1,4004
-63,75,-93,-4666,63,-170,1,4741
-90,92,-85,-5357,109,-154,0,5195
-101,97,-53,-6215,136,-136,0,6266
-100,84,-1,-7151,157,-116,1,6964
-98,83,48,-7866,128,-153,1,-7841
-69,78,76,-8436,70,-174,1,-8286
-46,60,76,-8972,1,-218,1,-9102
-19,34,56,-9342,-13,-258,0,9594
7,8,31,-9485,-130,-331,0,-9430
20,-21,-10,-9326,-224,-533,0,-9902
14,-36,-46,-8763,-113,-496,0,-9128
-34,-28,-53,-7732,32,-413,1,-8067
-48,11,-13,-6743,226,-239,1,6769
-106,51,21,-6357,251,-177,1,-6356
-147,81,58,-6409,223,-169,1,-6534
-131,93,95,-6798,202,-165,0,-6754
-176,99,119,-7570,228,-194,0,-7438
-152,106,152,-8460,149,-212,0,-8491
-113,96,150,-9334,110,-234,0,-9335
-69,70,114,-10143,65,-254,1,-10066
-26,36,76,-10747,19,-282,1,-10371
-3,5,36,-11147,-20,-336,0,10999
26,-20,0,-11256,-268,-525,1,10490
42,-37,-43,-10995,-167,-476,1,-11177
-14,-32,-69,-10464,37,-435,0,-10525
-85,-13,-74,-9735,184,-348,1,-10232
-121,8,-72,-9141,253,-290,1,8796
-171,31,-61,-8828,310,-246,1,9010
-187,57,-6,-8591,287,-212,1,8391
-187,64,31,-8526,268,-217,1,-8320
-193,72,69,-8677,217,-236,1,-8473
-140,68,99,-8983,152,-248,1,-9175
-126,46,79,-9478,170,-287,1,-9391
-98,30,63,-9982,148,-309,1,-10015
-56,9,46,-10351,116,-347,1,-10580
-10,-12,25,-10520,16,-462,0,10451
20,-27,5,-10428,-207,-586,0,10805
18,-29,-18,-10070,-147,-551,0,-9725
8,-18,-29,-9526,-69,-485,0,-9363
-80,-12,-72,-8848,182,-374,1,-9037
-124,1,-76,-8119,218,-303,1,7792
-177,28,-56,-7619,288,-245,1,7310
-186,45,-10,-7424,319,-216,1,7561
-216,69,52,-7529,279,-200,1,-7198
-216,79,106,-7937,214,-213,1,-8180
-153,80,128,-8486,141,-235,1,-8458
-92,57,102,-9157,97,-258,1,-8868
-48,27,70,-9753,62,-294,1,-10099
-11,0,44,-10107,-25,-372,0,9781
23,-17,20,-10115,-222,-481,0,9902
31,-31,-12,-9816,-224,-550,1,-9381
9,-40,-47,-9314,-82,-513,0,-9779
-11,-29,-55,-8574,10,-443,0,-8432
-108,0,-52,-7833,247,-307,1,7942
-175,25,-33,-7299,324,-250,1,7595
-184,46,11,-7034,314,-214,1,-6664
-186,63,67,-7004,273,-204,1,-6728
-209,70,109,-7306,237,-226,1,-7294
-174,71,125,-7770,168,-244,1,-7831
-122,57,105,-8383,142,-266,1,-8468
-80,35,75,-9066,127,-287,1,-8749
-45,14,54,-9617,108,-309,1,-9440
-4,-5,35,-9929,-36,-405,0,-10074
17,-24,7,-9971,-181,-582,0,9216
19,-36,-27,-9787,-145,-553,0,-9387
24,-31,-43,-9184,-146,-474,0,-8890
-33,-5,-51,-8324,104,-350,1,-8612
-124,16,-59,-7480,237,-278,1,7325
-180,41,-30,-6869,296,-233,1,7056
-170,54,15,-6657,294,-203,1,-7040
-192,70,65,-6743,270,-206,1,-6959
-219,83,105,-7117,220,-224,1,-6957
-166,85,132,-7658,148,-237,1,-7655
-96,65,112,-8360,97,-259,1,-8618
-38,39,77,-9015,38,-275,1,-8783
-1,13,36,-9472,-53,-304,0,9679
39,-16,-14,-9576,-313,-470,1,-9645
42,-38,-61,-9188,-151,-457,1,-8846
-44,-20,-82,-8510,96,-380,1,-8269
-109,0,-78,-7779,203,-308,1,8120
-167,28,-49,-7190,279,-248,1,7548
-165,52,3,-6905,292,-205,1,-7041
-197,71,56,-6920,271,-200,1,-6776
-204,88,108,-7129,203,-210,1,-6975
-167,92,128,-7594,151,-231,0,-7585
-111,76,100,-8200,114,-250,1,-8394
-68,51,64,-8782,97,-263,1,-8986
-35,27,34,-9213,87,-271,1,-8894
2,3,2,-9403,-179,-224,0,-9431
31,-22,-35,-9235,-208,-477,1,-9515
6,-40,-74,-8705,-50,-468,0,-9097
-49,-31,-78,-7989,97,-392,1,-7859
-118,0,-54,-7268,249,-296,1,7678
-177,35,-16,-6755,302,-233,1,6971
-181,55,31,-6622,280,-205,1,-6295
-186,80,94,-6765,210,-191,1,-6837
-153,102,149,-7137,130,-199,0,-7118
-95,99,155,-7609,66,-225,0,-7615
-53,71,107,-8067,34,-254,1,-8007
-37,39,60,-8394,51,-273,1,-8663
-15,14,30,-8536,38,-296,0,-8267
2,-5,7,-8429,-111,-503,0,8567
5,-22,-26,-8049,-77,-532,0,-7461
-22,-32,-56,-7538,58,-462,0,-7354
-61,-18,-66,-6985,151,-370,1,-6850
-108,10,-48,-6432,265,-263,1,6493
-158,40,-8,-6091,328,-222,1,5870
-191,56,49,-5948,289,-212,1,-5758
-202,63,110,-6030,233,-229,1,-5916
-183,68,144,-6351,169,-252,1,-6398
-135,64,131,-6884,132,-275,1,-6964
-88,47,83,-7542,123,-289,1,-7175
-45,28,45,-8165,95,-307,1,-7832
-9,4,15,-8581,58,-323,0,-8446
34,-15,-11,-8622,-303,-465,1,-8567
23,-28,-44,-8253,-121,-476,0,-8635
-28,-24,-63,-7671,68,-416,1,-7197
-93,-7,-61,-6965,206,-333,1,-6868
-124,17,-40,-6413,298,-274,1,6521
-188,21,-33,-6121,355,-251,1,5884
-179,37,25,-5896,317,-236,1,-5725
-214,39,60,-5890,281,-267,1,-6112
-211,40,86,-6144,232,-279,1,-5807
-156,44,101,-6687,173,-280,1,-7030
-101,36,73,-7402,144,-293,1,-7512
-49,16,40,-8068,126,-315,1,-7885
-4,-9,18,-8483,-5,-464,0,-8435
33,-23,0,-8456,-285,-500,1,8668
21,-33,-43,-8084,-121,-495,0,-7705
-17,-31,-75,-7529,24,-424,0,-7314
-84,-9,-81,-6823,166,-329,1,-6977
-136,14,-67,-6172,242,-271,1,6447
-176,43,-26,-5860,324,-213,1,6125
-225,80,72,-5785,259,-201,1,-6057
-211,76,124,-5969,198,-232,1,-6033
-172,77,138,-6399,149,-257,1,-6405
-98,56,101,-7015,105,-278,1,-6694
-55,33,62,-7630,91,-292,1,-7328
-12,10,30,-8071,30,-296,0,-7843
23,-8,-1,-8149,-355,-460,0,-8048
58,-22,-44,-7782,-250,-431,1,-7990
1,-22,-94,-7215,-4,-400,0,-7658
-84,-8,-107,-6565,139,-336,1,-6238
-160,26,-75,-5815,251,-256,1,5758
-203,46,-10,-5360,315,-225,1,5594
-243,68,85,-5221,243,-239,1,-5274
-208,74,165,-5541,175,-237,1,-5573
-150,79,175,-6191,101,-260,1,-6463
-63,55,124,-6886,44,-280,1,-7081
-29,28,72,-7518,41,-287,1,-7202
-1,0,27,-7936,-47,-377,0,8112
30,-17,-7,-7986,-299,-485,1,-8181
68,-27,-43,-7623,-249,-429,1,-7398
9,-26,-81,-7000,-29,-406,0,-6813
-93,-9,-92,-6137,158,-321,1,-5675
-137,20,-75,-5352,259,-261,1,5173
-201,43,-31,-4960,319,-230,1,4731
-230,63,45,-4847,304,-218,1,-5108
-257,75,109,-5082,238,-231,1,-4853
-196,79,127,-5603,166,-247,1,-5443
-115,61,97,-6355,128,-261,1,-6524
-57,37,62,-7094,86,-270,1,-6863
-9,12,34,-7601,-11,-300,0,7349
28,-9,0,-7762,-358,-448,1,7836
57,-31,-46,-7522,-218,-445,1,-7182
20,-38,-80,-6978,-60,-437,0,-6835
-54,-19,-81,-6169,125,-362,1,-6521
-111,8,-83,-5457,219,-303,1,5266
-176,29,-71,-4944,311,-246,1,4730
-229,47,-25,-4606,316,-255,1,4335
-274,65,43,-4502,279,-231,1,-4381
-214,78,105,-4803,198,-247,1,-4612
-142,62,87,-5421,169,-261,1,-5223
-96,36,54,-6090,169,-280,1,-5690
-55,9,32,-6611,156,-331,1,-6169
-12,-8,26,-6870,16,-430,0,7036
26,-21,9,-6846,-252,-518,1,6215
43,-38,-39,-6613,-191,-481,1,-6306
20,-30,-68,-6010,-75,-426,0,-5843
-65,-11,-90,-5226,142,-343,1,-5538
-151,4,-98,-4507,233,-296,1,4260
-172,32,-52,-4098,305,-238,1,4454
-213,67,34,-3942,296,-209,1,-3628
-231,71,77,-4109,265,-231,1,-4365
-215,80,108,-4516,195,-244,1,-4475
-155,69,98,-5112,164,-263,1,-4844
-102,44,56,-5784,155,-277,1,-5995
-37,17,31,-6330,105,-304,1,-6615
6,-9,1,-6684,-222,-623,0,6309
48,-35,-27,-6618,-257,-497,1,-6435
61,-36,-48,-6111,-217,-449,1,-5877
-2,-13,-76,-5287,7,-371,0,-5528
-134,11,-89,-4219,199,-298,1,4417
-141,31,-69,-3520,255,-243,1,3430
-235,57,-24,-3223,331,-212,1,3529
-219,84,71,-3198,261,-172,1,-3354
-243,88,118,-3529,221,-219,1,-3345
-179,97,134,-4141,148,-239,0,-4098
-118,64,85,-4943,118,-269,1,-4696
-66,36,41,-5692,110,-279,1,-5901
-11,9,12,-6220,56,-273,0,-6511
46,-21,-13,-6478,-309,-476,1,-6552
73,-51,-49,-6367,-225,-495,1,-6553
62,-63,-101,-5878,-122,-450,1,-5931
-57,-20,-112,-5040,119,-339,1,-4814
-123,24,-101,-4218,227,-248,1,4200
-215,58,-80,-3644,299,-209,1,3936
-193,86,10,-3141,255,-170,1,-3214
-235,96,81,-2985,242,-197,0,-2888
-228,103,126,-3147,161,-225,0,-3316
-142,83,107,-3621,134,-260,1,-3864
-94,51,61,-4284,141,-281,1,-4479
-51,27,30,-4882,137,-288,1,-4788
-6,0,4,-5256,150,-397,0,-5535
37,-27,-29,-5323,-228,-497,1,-5626
46,-50,-74,-5067,-145,-480,1,-4817
31,-33,-95,-4382,-86,-396,1,-4258
-80,11,-86,-3371,158,-292,1,3205
-170,43,-70,-2553,264,-251,1,2254
-249,62,-18,-2069,300,-241,1,2332
-233,83,71,-1927,253,-208,1,-1868
