-40,94,22,6,-14,14,0,104
-40,95,19,4,-15,18,0,113
-39,95,18,-4,-17,20,0,-111
-39,93,17,-14,-15,19,0,-121
-38,92,17,-26,-15,20,0,-106
-39,92,16,-40,-15,20,0,-86
-37,93,17,-47,-20,23,0,-65
-37,92,16,-51,-17,23,0,-96
-41,93,17,-47,-12,18,0,-82
-46,92,24,-10,-2,7,0,-101
-69,105,54,110,9,-10,0,119
-74,133,69,350,-22,0,1,449
-75,171,74,682,-39,7,1,547
-51,202,61,1012,-70,29,1,874
-43,200,27,1041,-70,15,1,1185
-24,169,-14,750,-87,0,0,-522
-12,145,-11,371,-86,53,0,-386
-10,123,-7,-56,-76,24,0,18
-14,89,-24,-632,-61,-22,0,-544
-9,63,-33,-1358,-74,-68,0,-1363
6,44,-33,-2163,-130,-79,0,2229
18,24,-39,-3039,-180,-197,0,2951
17,-13,-44,-3872,-186,-359,0,-3829
15,-38,-25,-4253,-189,-452,0,-4564
1,-24,23,-4051,-130,-397,0,3804
-32,-13,57,-3480,3,-256,1,3394
-50,7,95,-2814,10,-175,1,-2612
-71,12,113,-2201,21,-167,1,-2068
-76,25,122,-1620,18,-164,1,-1738
-76,36,134,-1145,-17,-111,1,1260
-57,55,147,-817,-60,-103,1,1010
-35,66,162,-620,-76,-118,1,660
-25,97,159,-519,-74,-54,0,670
-38,132,120,-395,-18,11,1,-331
-62,161,79,-253,4,47,1,7
-59,161,51,-104,-36,33,1,-207
-34,145,37,-145,-62,20,1,-48
-30,125,15,-432,-44,21,1,-510
-31,102,2,-906,-27,7,0,-1005
-35,81,7,-1350,-6,-26,1,1326
-38,53,0,-1738,28,-92,1,-1694
-32,38,-10,-2145,26,-116,1,2106
-9,24,-22,-2657,-65,-135,0,-2722
15,14,-28,-3329,-213,-239,0,3362
22,9,-29,-4173,-220,-252,0,4205
0,-7,-20,-4925,-84,-353,0,-4633
3,-39,-8,-5182,-132,-552,0,-5818
-10,-17,33,-4792,-34,-312,0,-5020
-63,10,68,-3938,91,-171,1,-4068
-107,28,85,-2864,108,-139,1,-3050
-104,59,97,-1836,67,-87,1,-1793
-108,76,99,-873,51,-84,1,-848
-104,95,114,-57,17,-67,0,-36
-76,90,101,559,-10,-30,0,-590
-58,116,104,1132,-20,8,1,1105
-66,134,92,1737,0,30,1,-1616
-71,183,69,2338,-19,78,1,2505
-66,212,76,2842,-49,54,1,3014
-71,214,36,2984,-37,8,1,2867
-65,196,-20,2725,-53,-18,1,2580
-45,174,-40,2275,-51,-11,1,2173
-48,156,-34,1697,-42,-21,1,1549
-30,126,-31,1034,-59,-2,1,1103
-21,100,-23,398,-70,0,0,-432
-14,71,-23,-200,-87,-36,0,-237
-3,47,-26,-779,-117,-69,0,-781
10,28,-32,-1382,-171,-153,0,1372
9,13,-26,-2066,-174,-207,0,2157
7,-5,-31,-2812,-155,-310,0,-2892
11,-22,-29,-3281,-191,-381,0,-3347
3,-1,5,-3217,-238,-254,0,3204
-20,15,33,-2871,21,-103,0,-2939
-46,44,72,-2308,20,-88,1,-2315
-71,67,101,-1619,32,-54,1,-1573
-79,92,116,-947,19,-35,0,-1000
-79,105,127,-263,-3,-27,0,324
-58,128,142,350,-39,-19,1,-351
-56,103,120,833,-19,-48,0,-855
-55,128,115,1253,-16,8,1,1060
-59,139,98,1540,-6,37,1,1780
-55,162,70,1748,-25,54,1,1579
-53,182,57,1994,-46,44,1,1907
-56,189,26,2201,-44,35,1,2050
-52,197,4,2269,-67,20,1,2170
-37,178,-25,2172,-72,9,1,-2240
-33,160,-28,1840,-62,0,1,-1942
-24,135,-24,1288,-66,-1,0,1484
-14,113,-13,667,-84,8,0,-691
-9,83,-21,-27,-91,-14,0,-1
-3,56,-36,-806,-110,-84,0,-769
17,34,-43,-1597,-182,-140,0,1561
20,14,-39,-2443,-204,-214,0,2474
21,-9,-43,-3288,-202,-339,0,-3450
20,-28,-36,-3692,-200,-383,0,-4093
7,-16,0,-3520,-211,-470,0,3250
-15,8,35,-2983,-1,-138,0,2824
-51,35,68,-2241,52,-97,1,-2243
-82,50,84,-1350,74,-84,1,-1385
-94,83,94,-404,52,-68,1,-440
-106,104,119,521,26,-59,0,605
-90,115,125,1327,-7,-7,1,-1404
-70,110,118,1874,-11,-20,1,-1814
-55,108,112,2304,-22,-14,0,-2353
-46,125,83,2659,-16,42,1,2630
-58,172,57,3025,-18,90,1,2869
-48,204,68,3501,-54,73,1,3445
-56,209,39,3927,-53,21,1,4020
-41,195,-19,4037,-85,-1,1,3947
-28,185,-32,3875,-69,18,1,-4044
-43,167,-39,3483,-46,-12,1,3349
-25,137,-41,2880,-72,-23,1,2987
-20,108,-30,2202,-71,-26,0,2213
-13,87,-20,1464,-89,-14,0,1447
0,62,-21,673,-124,-27,0,-745
12,37,-27,-126,-179,-109,0,146
13,18,-29,-890,-187,-194,0,771
10,2,-25,-1653,-198,-265,0,1963
17,-18,-25,-2215,-215,-392,0,-2542
3,-22,-10,-2352,-134,-495,0,-2138
-12,-13,14,-2117,23,-350,0,2309
-29,-2,47,-1660,29,-201,1,1695
-55,21,76,-982,46,-145,1,-776
-88,49,95,-167,71,-85,1,-144
-84,77,112,528,21,-53,1,604
-80,92,119,1175,2,-38,0,1238
-65,114,126,1776,-30,-37,1,-1671
-52,118,110,2293,-33,-27,1,-2280
-49,107,99,2703,-20,-8,0,-2722
-44,119,73,3099,-16,41,1,3115
-58,151,58,3589,-20,76,1,3789
-43,181,50,4000,-73,102,1,3872
-26,194,42,4247,-80,76,1,4198
-48,188,-2,4386,-58,34,1,-4521
-30,180,-28,4342,-86,19,1,-4098
-29,165,-42,4138,-69,-6,1,4344
-31,148,-39,3780,-63,-17,1,3653
-23,127,-26,3275,-65,-14,0,3316
-15,103,-29,2597,-76,-23,0,2575
-6,74,-36,1791,-96,-58,0,1783
3,49,-34,960,-125,-91,0,-1016
7,34,-34,202,-138,-112,0,-43
5,8,-38,-447,-141,-239,0,502
7,3,-27,-790,-165,-223,0,883
-1,4,-13,-782,-70,-151,0,-981
-27,15,16,-474,96,-104,1,-473
-48,39,69,99,19,-95,1,96
-71,73,117,774,13,-55,1,836
-78,85,127,1362,6,-52,1,1283
-67,113,147,1922,-35,-31,1,-1822
-47,106,135,2453,-43,-42,0,-2392
-43,98,131,2900,-30,-47,0,-2991
-41,117,88,3297,-1,33,1,3270
-71,170,76,3723,5,66,1,-3696
-68,185,73,4064,-40,43,1,3932
-49,192,43,4228,-62,38,1,4167
-51,191,9,4241,-60,24,1,4149
-41,181,-14,4195,-69,20,1,-4257
-35,159,-23,4039,-61,2,1,-3922
-28,127,-27,3690,-55,-16,1,3630
-24,103,-19,3211,-53,-19,0,3277
-17,77,-19,2634,-64,-27,0,2594
-9,54,-26,2007,-83,-60,0,1947
6,36,-34,1358,-138,-104,0,-1442
11,17,-37,585,-147,-219,0,-574
8,-4,-38,-164,-139,-327,0,-324
10,-15,-22,-587,-186,-376,0,-920
1,-11,1,-566,-124,-542,0,91
-13,7,30,-188,-6,-144,0,38
-43,43,58,494,29,-57,1,499
-65,68,90,1355,29,-51,1,1337
-79,89,107,2330,33,-8,1,2371
-105,119,118,3359,42,-25,1,3399
-110,126,135,4340,15,-50,1,4189
-95,122,134,5136,1,-64,1,5263
-88,110,127,5683,1,-72,1,5680
-78,118,95,6013,10,-5,1,5908
-66,187,56,6347,-40,68,1,6249
-40,212,50,6647,-67,101,1,6418
-55,196,8,6690,-41,20,1,6887
-39,173,-40,6166,-77,-21,1,6369
-20,152,-42,5442,-75,-4,0,5547
-40,129,-25,4716,-24,-12,1,4813
-36,108,-20,3829,-35,-27,0,3731
-19,80,-24,2866,-68,-38,0,2819
-10,54,-33,1919,-102,-106,0,1902
1,40,-41,1036,-133,-135,0,-1038
12,22,-34,153,-198,-184,0,-211
34,0,-44,-691,-261,-288,1,675
22,-7,-23,-1147,-271,-299,0,-1115
6,-2,-1,-1028,-381,-288,0,-1126
-16,14,27,-463,14,-86,0,-398
-59,60,69,493,51,-12,1,405
-92,90,89,1550,57,-52,0,1630
-109,112,88,2662,55,-38,1,2611
-105,134,107,3751,22,-24,1,3616
-96,139,110,4705,7,-8,1,4824
-81,125,90,5518,2,5,1,-5630
-68,143,61,6208,-7,37,1,6289
-60,172,52,6781,-41,92,1,6825
-42,189,58,7287,-68,60,1,7333
-44,203,40,7696,-73,25,1,7818
-24,198,-2,7857,-100,38,0,-7719
-17,188,-22,7789,-82,31,0,-7833
-29,175,-22,7476,-59,12,1,-7592
-21,153,-26,6864,-64,0,0,-6778
-22,120,-29,6043,-61,-43,0,6142
-13,93,-26,5128,-79,-23,0,5146
-1,67,-22,4160,-111,-25,0,4194
9,42,-24,3251,-153,-77,0,-3154
19,18,-26,2434,-228,-170,0,-2515
27,-3,-39,1738,-227,-286,1,1801
11,-5,-27,1329,-179,-288,0,1163
8,8,-12,1343,-208,-91,0,-1444
-8,23,19,1787,-43,-5,0,-1749
-55,58,53,2554,40,-34,1,2505
-69,97,91,3548,24,-6,0,3517
-98,123,97,4587,44,-26,1,4518
-112,146,113,5733,23,-24,1,5866
-104,133,123,6735,8,-42,1,6900
-71,129,113,7509,-21,-26,1,-7662
-66,133,93,8163,-22,18,1,8062
-47,160,95,8694,-62,20,1,8461
-45,152,59,9167,-39,15,1,9066
-68,160,26,9592,-10,25,1,9618
-48,183,10,9767,-60,68,1,9929
-43,183,-11,9715,-54,56,1,-9579
-23,181,-22,9289,-90,49,0,-9366
-6,170,-27,8467,-107,34,0,-8685
-5,152,-24,7550,-112,12,0,-7573
10,60,-31,4653,-164,-68,0,-4840
8,31,-34,3843,-165,-144,0,-3869
19,8,-36,3163,-220,-282,0,-3492
6,-9,-28,2687,-150,-341,0,2985
3,-10,-14,2526,-156,-373,0,2100
-2,-4,1,2694,0,-447,0,-2874
-15,21,33,3137,-20,-64,0,-3158
-38,49,54,3843,27,-23,1,3887
-78,97,80,4796,60,-4,0,4861
-104,106,84,5710,53,-15,0,5678
-85,148,109,6540,-13,19,1,6461
-68,145,123,7249,-26,15,1,7405
-66,146,95,7834,-1,37,1,7728
-83,174,86,8412,-15,53,1,8270
-50,197,79,8934,-78,81,1,8770
-31,211,53,9298,-83,65,1,9402
-43,204,9,9504,-69,47,1,9639
-33,195,-20,9380,-73,20,1,-9228
-30,167,-53,8985,-76,-32,1,9152
-23,142,-41,8490,-76,-26,0,8650
-26,129,-34,7916,-63,-25,1,7792
-13,106,-35,7161,-75,-30,0,7144
2,78,-30,6201,-108,-38,0,-6181
11,50,-33,5110,-149,-117,0,-4878
20,10,-36,4178,-226,-251,0,-4215
27,-3,-27,3628,-290,-288,1,3602
15,-3,-20,3603,-242,-261,0,4090
-7,9,6,4034,26,-24,0,4036
-28,42,34,4781,22,-10,1,4770
-63,76,58,5788,48,-30,1,5882
-80,111,70,6924,41,-7,1,6982
-107,142,73,8156,60,19,1,-8030
-103,156,93,9281,23,10,1,-9465
-100,138,75,10215,40,-11,1,10084
-103,131,46,11137,64,8,1,-11010
-125,148,14,11912,66,4,1,-11820
-117,167,2,12547,-1,45,1,12796
-71,188,17,12987,-73,64,1,12891
-61,200,-5,13298,-80,24,1,-13143
-42,188,-46,13443,-109,-10,1,13405
-31,173,-59,13472,-106,-31,1,13405
-19,156,-47,13343,-108,-19,0,13508
-16,147,-26,13092,-95,0,0,-13310
-11,122,-23,12754,-100,0,0,-12758
-1,92,-16,12356,-120,-18,0,12403
9,65,-15,11890,-146,-13,0,-11948
12,47,-24,11337,-152,-49,0,-11481
19,29,-33,10707,-183,-164,0,-10731
11,7,-36,10048,-152,-263,0,-9981
12,-5,-27,9512,-193,-312,0,9423
4,-12,-16,9313,-143,-395,0,9575
-3,-8,10,9579,-41,-371,0,9276
-40,20,38,10361,94,-111,1,10335
-94,64,65,11471,94,-82,1,11423
-105,85,80,12572,73,-61,1,12551
-97,114,91,13746,29,-6,1,13792
-106,153,106,14927,25,13,1,-15043
-103,142,112,15972,12,0,1,-16116
-89,148,73,16868,25,40,1,-16724
-100,169,59,17682,5,50,1,-17880
-57,185,40,18389,-72,87,1,18287
-34,191,22,19050,-88,94,1,19176
-40,192,-9,19274,-66,62,1,-19418
-21,203,-27,19023,-96,38,0,-19186
-11,210,-54,18641,-121,-7,0,18496
0,171,-63,18255,-128,-57,0,-18336
-10,142,-54,17880,-98,-37,0,17709
-17,105,-53,17639,-100,-64,0,17652
-10,77,-46,17495,-116,-78,0,17410
1,55,-38,17295,-135,-90,0,-17218
16,32,-33,16931,-176,-121,0,-17127
14,13,-35,16352,-167,-212,0,-16311
9,0,-36,15657,-131,-323,0,-15554
13,-16,-32,15184,-177,-373,0,14987
9,-16,-9,15089,-201,-448,0,15242
-8,-11,0,15359,61,-410,0,-14933
-28,23,49,16076,21,-76,1,16044
-68,78,91,17021,33,-29,1,16917
-67,120,101,17935,22,10,1,-18000
-94,135,123,18910,7,-3,1,18809
-83,172,160,19923,-50,6,1,19897
-64,153,162,20565,-47,-26,1,-20582
-59,132,141,20981,-30,-47,1,-20983
-56,131,104,21243,-10,-3,1,-21040
-66,161,80,21428,-11,30,1,21267
-57,176,42,21535,-38,46,1,21685
-49,180,5,21468,-58,57,1,21342
-36,187,-9,21307,-74,61,1,-21469
-32,186,-15,21163,-82,33,1,-21108
-25,167,-30,20894,-80,-1,1,20848
-17,141,-34,20488,-81,-13,0,20714
-16,111,-38,19936,-84,-35,0,19926
-10,82,-40,19351,-104,-60,0,19381
0,51,-40,18834,-137,-105,0,-18789
16,30,-38,18271,-188,-166,0,-18281
21,8,-38,17551,-209,-268,0,-17775
16,-18,-45,16972,-178,-355,0,17328
21,-10,-19,16825,-288,-313,0,16786
7,8,0,16951,-274,-36,0,17160
